Id,Tema,Karakter,Penjelasan
20,Makna ujian,Memahami bahwa bentuk ujian itu berupa tawa & tangis.,"Mukmin yang mempelajari Al-Quran akan tahu dan paham bahwa manusia di dunia ini hakikatnya adalah sedang menjalani ujian. Dan ujian itu bentuknya tawa dan tangis. Dua macam ujian ini sebenarnya membuat kita bisa bersabar dan tangguh. “Jangan terlalui senang, sebab di depan ada neraka. Tapi juga jangan terlalu sedih, sebab di depan ada surga.”"
21,Makna ujian,Memahami bahwa ujian berupa tangis harus dijawab dengan jihad dan sabar (terus berikhtiar).,"Mukmin yang mempelajari Al-Quran akan tahu dan paham bahwa manusia di dunia ini hakikatnya adalah sedang menjalani ujian. Dan ujian itu bentuknya tawa dan tangis. Menghadapi ujian berupa keburukan seperti musibah, kehilangan, kecelakaan, didzolimi orang, dsb. Manusia harus berjihad, yaitu terus berikhtiar. Tidak boleh menyerah dan putus asa."
22,Makna ujian,"Memahami bahwa ujian berupa tawa harus dijawab dengan kendali diri, jangan sombong dan bermaksiat.","Mukmin yang mempelajari Al-Quran akan tahu dan paham bahwa manusia di dunia ini hakikatnya adalah sedang menjalani ujian. Dan ujian itu bentuknya tawa dan tangis. Menghadapi ujian berupa kebaikan seperti fisik yang baik, rizqi melimpah, kemudahan, dsb. Manusia harus bersyukur dan bersabar, wujud nyata (dari syukur dan sabar) nya adalah tidak boleh sombong dan bermaksiat."
23,Makna ujian,Memahami bahwa ujian itu adalah peluang untuk berkembang.,"Apabila manusia jeli, maka akan jelaslah bahwa disetiap ujian terkandung peluang. Bayangkan ini seperti ujian sekolah yang kalau kita berhasil menyelesaikan dengan baik (nilainya tinggi) maka kita akan naik kelas. Dari SD menuju SMP, menuju SMA, menuju S1, S2, dan S3. Itulah hakikat ujian sebagai “Peluang untuk berkembang”."
24,Makna ujian,"Memiliki daya tahan yang baik terhadap tekanan, kesulitan, & stress.","Semua ujian menuntut fokus dan energi tambahan untuk menghadapinya. Manusia harus punya daya tahan terhadap tekanan, kesulitan, dan stress. Kalau tidak, ia akan kalah, menyerah, dan putus asa. Maka manusia harus berlatih dan membangun daya tahan yang baik, sama seperti dunia gym. Kita tidak bisa langsung angkat barbel 100 kg, kita harus melatih diri dr 1 kg, menuju 2 kg, 3kg, 4 kg, dst, dst. Dari satu ujian ke ujian yang lain hakikatnya adalah “kita sedang berlatih.”"
25,Makna ujian,"Mampu menemukan hikmah dibalik ujian (baik di awal, di tengah, maupun di akhir)","Apabila manusia jeli, maka akan jelaslah bahwa disetiap ujian terkandung hikmah. Bayangkan ini seperti ujian sekolah yang kita jalani. Di SD kita mendapatkan misalnya 10 ilmu, maka di SMP kita mendapat lebih banyak ilmu, di SMA semakin banyak, di universitas akan semakin banyak lagi, seperti itu terus-menerus. Maka ketika diuji jangan hanya fokus ke penderitaannya tapi fokus juga ke hikmah dan manfaat yang kita dapat dari ujian itu. Baik di awal ujian, atau di tengah ujian, atau di akhir ujian."
26,Makna jihad,Setia dengan tujuan & yakin bahwa tujuan itu akan tercapai.,"Mukmin yang mempelajari Al-Quran akan tahu dan paham bahwa manusia di dunia ini hakikatnya adalah sedang menjalani perjalanan menuju kesuksesan atau kegagalan. Baik kesuksesan dunia maupun kesuksesan akhirat. Kesuksesan akhirat itu adalah surga dan melihat wajah Allah Taala. Sedangkan kesuksesan dunia lebih banyak bentuknya, misalnya kaya, jabatan, popularitas, dsb. Salah satu rahasia kesuksesan itu adalah “Merasa yakin, bahwa kita akan mendapatkan kesuksesan itu.” Dan setia dengan tujuan itu."
27,Makna jihad,Memiliki endurance (kekuatan menderita) yang baik.,"Mukmin yang jeli akan mendapati sebuah kenyataan, bahwa di setiap ujian terdapat perjalanan. Ada yang pendek dan ada yang panjang. Untuk perjalanan pendek itu bagaikan lomba lari jarak pendek, triknya hanyalah “Berlari sekuat tenaga, sekencang-kencangnya..” Tapi untuk perjalanan yang panjang seperti marathon, kita harus menjaga tenaga, jangan sampai kehabisan ditengah perjalanan. Harus diatur dengan baik agar sampai ke garis finish. Inilah yang disebut dengan endurance, yaitu konsisten mengatur energi hingga di garis finish."
28,Makna jihad,Lebih terobsesi pada proses (ikhtiar) daripada hasil.,"Disetiap ujian ada yang namanya “hasil” dan ada yang namanya “proses”. Mukmin sejati harus waspada, sebab di dalam ujian hasil akan tertolak apabila prosesnya keliru. Contoh, kalau kita mencontek di waktu ujian maka apabila dipergoki maka kita langsung dianggap gagal. Maka jangan hanya terobsesi pada hasil, tapi juga harus terobsesi pada kesempurnaan proses, artinya prosesnya harus bersih dari dosa."
29,Makna jihad,Menerima kegagalan dengan baik & pandai mengambil hikmah untuk ikhtiar berikutnya.,"Disetiap ujian ada yang namanya berhasil ada yang namanya gagal. Di setiap tema ujian Allah mentaqdirkan beberapa kegagalan sebelum sampai pada kesuksesan. Maka jangan menyerah terhadap kegagalan, sebab setelah kegagalan itu pasti ada kesuksesan. Pelajari kegagalan itu, ambil hikmahnya, sebagai catatan untuk memperbaiki ikhtiar yang berikutnya."
30,Makna taqdir,Menerima masa lalu sebagai taqdir Allah yang terbaik.,"Mukmin yang mempelajari Al-Quran akan tahu dan paham tentang konsep takdir. Yaitu ketetapan yang Allah Al Khaliq gambarkan untuk manusia. Gambar ini berupa milyaran garis cerita untuk satu manusia, milyaran cerita itu walau variasi ceritanya bermilyar-milyar namun semua nya hanya dengan dua tujuan akhir, yaitu surga dan neraka. Maka jangan meratapi masa lalu dan jangan menyalahkan masa lalu, sebab apapun masa lalumu, itu adalah sebuah kebaikan menuju surgamu. Saya tidak menyalahkan orangtua saya yang miskin, saya tidak menyalahkan orangtua saya yang kafir, sebab justru itulah yang membuat saya kaya dan menemukan Islam. Saya menerima masa lalu saya sebagai masa lalu yang terbaik."
31,Makna taqdir,Mengartikan masa depan sebagai tanggung jawab pribadi.,"Mukmin yang baik dilarang menyalahkan masa lalu, dan mukmin yang baik harus mengartikan masa depan sebagai tanggung jawabnya pribadi. Percuma punya harta warisan yang banyak, sebab tanpa tanggung jawab dan ilmu harta warisan itu bisa habis. Percuma punya orangtua profesor, walaupun kita punya dna nya tapi tanpa didukung dengan kerja keras, kita akan tetap bodoh juga. Apapun yang akan terjadi masa depan itu adalah tanggung jawabmu pribadi."
32,Makna Taqdir,Memahami bahwa manusia diberi hak untuk memilih & semua pilihan itu adalah taqdir Allah.,"Mukmin yang mempelajari Al-Quran akan tahu dan paham tentang konsep takdir. Yaitu ketetapan yang Allah Al Khaliq gambarkan untuk manusia. Gambar ini berupa milyaran garis cerita untuk satu manusia, milyaran cerita itu walau variasi ceritanya bermilyar-milyar namun semua nya hanya dengan dua tujuan akhir, yaitu surga dan neraka. Mukmin yang cerdas juga paham bahwa Allah memberikan hak pilih kepada manusia. Apa sebenarnya yang dipilih ? Jawabnya adalah cerita-cerita itu. Allah yang gambar, manusia yang pilih. Semua yang kita pilih adalah takdir Allah."
33,Makna Taqdir,Pandai menetapkan pilihan dengan argumentasi logis yang syar’i.,"Mukmin yang mempelajari Al-Quran akan tahu dan paham bahwa Allah memberikan hak pilih kepada manusia. Atas dasar pertimbangan apa kita memilih? Jawabnya adalah dengan logika dan syariat. Dua argumentasi ini tak boleh terlepas dan terpisah. Contoh kalau dua argumentasi itu terlepas maka hasilnya adalah kesalahan atau bahkan dosa ; korupsi berjamaah secara logika pasti aman, sebab semua orang korupsi. Tapi walaupun begitu kalau kita melakukannya maka kita tetap dapat dosa."
34,Makna Taqdir,Memahami bahwa setiap pilihan ada resiko & konsekuensinya.,"Mukmin yang cerdas juga paham bahwa Allah memberikan banyak pilihan lengkap dengan risikonya masing-masing. Dilihat dari risiko, maka terdapat tiga situasi : Terkadang ada pilihan antara yang tidak berisiko sama sekali dengan yang beresiko. Ada juga antara yang risikonya besar dengan yang risikonya kecil. Tapi sesungguhnya lebih banyak pilihan yang keduanya punya risiko yang sama besarnya."
35,Makna Taqdir,Menerima kesalahan dengan wajar & tidak menyalahkan apapun dan siapapun tanpa argumentasi yang logis dan syar’i,Mukmin yang dewasa dan cerdas akan mengambil semua tanggung jawab terhadap apa yang dipilihnya sendiri apabila terdapat kesalahan atau kegagalan. Jangan seperti anak kecil yang selalu menolak untuk salah dan selalu menyalahkan orang lain.
36,Makna Ukhuwah,Memahami konflik sebagai ujian & alat untuk belajar.,"Arti sejati dari ukhuwah adalah ikatan persaudaraan atau persatuan yang dibangun atas dasar iman atau Akidah (QS. Al-Hujurat: 10). Secara sederhana kita bisa sebut persaudaraan muslim. Dan seperti semua kehidupan sosial, pasti terdapat konflik di tengah-tengah persaudaraan itu (baca ; keluarga). Namun konflik itu tidak boleh dipandang sebagai keburukan, sebaliknya konflik harus dipandang sebagai proses untuk menuju harmonis. Sesungguhnya pada konflik itu kita belajar untuk menuju harmonisasi."
37,Makna Ukhuwah,"Memahami makna dari kata benar, baik, & indah.","Ada tiga nilai yang harus dipahami dengan sempurna, yaitu ; Benar adalah menurut pandangan Allah Swt. Baik adalah menurut pandangan manusia. Sedangkan indah adalah gabungan dari benar dan baik. Pemahaman ini sangat penting untuk menjaga ukhuwah tetap utuh. Terutama untuk ukhuwah insaniyah dan wataniyah. Ukhuwah yang tertinggi adalah ukhuwah Akidah. Konflik-konfliknya sebetulnya simple. Tetapi ada jenis ukhuwah lain yang jauh lebih rumit. Yaitu ukhuwah Insaniyah yaitu persaudaraan sesama manusia tanpa memandang agama. Dan ukhuwah Wataniyah yaitu persaudaraan sebangsa dan setanah air. Pada dua jenis ukhuwah inilah konsep nilai benar baik dan indah ini harus diterapkan dengan hati-hati."
38,Makna Ukhuwah,"Menyikapi konflik dengan ; “Tabayun. Muhasabah, & Ishlah","Tabayun adalah memastikan kebenaran informasi, konfirmasikan kepada pengucap asli, jangan berpegang kepada “Katanya” atau yang lebih buruk lagi “Asumsi”. Muhasabah adalah mencari kesalahan diri sendiri. Ishlah adalah berbaikan. Idealnya semua konflik harus diakhiri dengan berbaikan, kembali berhubungan dengan baik. Bukan saling mengalahkan dan mematikan. Semua jenis konflik harus diselesaikan dengan tiga langkah diatas."
39,Makna Ukhuwah,Memahami bahwa perbedaan adalah kehendak Allah & akibat dari perspektif yang berbeda.,"Apa arti konflik ? konflik adalah pertentangan atau perselisihan antara individu maupun kelompok yang muncul karena perbedaan kepentingan, tujuan, nilai, atau pandangan. Siapakah yang menciptakan konflik? Manusia. Manusialah yang bertengkar, saling berselisih, saling ingin menang, dan saling ingin mendominasi. Apakah Allah mengijinkan konflik itu terjadi? Jawabnya iya. Ada di QS. An-Nahl 93. Namun sebenarnya semua perbedaan itu tidak otomatis menciptakan konflik yang buruk. Semua perbedaan itu bisa disikapi dengan baik, baik, dewasa, dan winwin solutions."
40,Makna Ukhuwah,Pandai menyikapi perbedaan dengan indah (benar & baik).,"Ini sudah dibahas dengan sangat jelas di ayat-ayat pondasi di tema ukhuwah (QCB). Yang pertama semua perbedaan dikembalikan kepada Quran dan hadis. (QS An-Nisa' 59). Yang kedua, jika masih terjadi perbedaan, padahal masing-masing memiliki dalil (Quran & Hadits), maka urusannya diserahkan kepada Allah Swt kelak di Akhirat. (QS Asy-Syura 10)."
