"id","id_mental","indikator_detail"
"24","2","[4. Prioritas yang Seimbang] Tidak hanya mengejar “baik menurut manusia” jika bertentangan dengan syariat."
"25","2","[4. Prioritas yang Seimbang] Tidak hanya berpegang pada “benar menurut Allah” tanpa memperhatikan cara penyampaian."
"26","2","[4. Prioritas yang Seimbang] Selalu mencari titik indah: benar secara syariat, baik secara sosial."
"27","2","[5. Integrasi Spiritualitas & Sosialitas] Menjadikan iman sebagai fondasi, akhlak sebagai wajah, dan maslahat sebagai buah."
"28","2","[5. Integrasi Spiritualitas & Sosialitas] Menyadari bahwa keindahan sejati lahir dari harmoni antara kebenaran wahyu dan kebaikan manusia."
"29","3","[1. Kebahagiaan dalam Penghambaan] Merasa tenang dan bahagia ketika beribadah."
"30","3","[1. Kebahagiaan dalam Penghambaan] Menjadikan ketaatan sebagai sumber kebahagiaan, bukan beban."
"31","3","[1. Kebahagiaan dalam Penghambaan] Menemukan makna hidup dalam menjadi hamba Allah."
"32","3","[2. Konsistensi Ibadah] Menjaga shalat, dzikir, doa, dan amal shalih dengan istiqamah."
"33","3","[2. Konsistensi Ibadah] Tidak mudah lalai meski sibuk dengan urusan dunia."
"34","3","[3. Orientasi Akhirat] Menyadari bahwa hidup di dunia hanyalah sementara."
"35","3","[3. Orientasi Akhirat] Menjadikan akhirat sebagai tujuan utama dalam setiap langkah."
"36","3","[4. Kesiapan Menghadap Allah] Senantiasa memperbaiki diri dan bertaubat dari kesalahan."
"37","3","[4. Kesiapan Menghadap Allah] Menyambut kematian dengan hati yang ridha, bukan takut berlebihan."
"38","3","[5. Syukur & Sabar] Bersyukur atas nikmat kecil maupun besar."
"39","3","[5. Syukur & Sabar] Bersabar atas ujian, karena yakin semua adalah bagian dari kasih sayang Allah."
"40","3","[6. Integritas dalam Hidup] Menjalani kehidupan sesuai syariat, baik dalam ibadah maupun muamalah."
"41","3","[6. Integritas dalam Hidup] Menjaga akhlak mulia sebagai cerminan hamba Allah."
"42","3","[7. Keteladanan Spiritual] Menjadi teladan bagi orang lain dalam ketenangan, kesabaran, dan keikhlasan."
"43","3","[7. Keteladanan Spiritual] Membuat orang lain merasakan kedamaian dari sikapnya."
"44","4","[1. Cinta kepada Rasulullah ﷺ] Menjadikan beliau sebagai teladan utama dalam hidup."
"45","4","[1. Cinta kepada Rasulullah ﷺ] Merasa bangga dan bahagia menjadi bagian dari umatnya."
"46","4","[2. Menghidupkan Sunnah] Berusaha menjalankan sunnah Rasulullah dalam ibadah, akhlak, dan muamalah."
"47","4","[2. Menghidupkan Sunnah] Menjadikan sunnah sebagai pedoman sehari-hari, bukan sekadar simbol."
"48","4","[3. Kerinduan Spiritual] Sering bershalawat sebagai wujud cinta dan kerinduan."
"49","4","[3. Kerinduan Spiritual] Berdoa agar kelak bisa berjumpa dengan Rasulullah di akhirat."
"50","4","[4. Keteladanan Akhlak] Menampilkan akhlak mulia sebagaimana dicontohkan Rasulullah."
"51","4","[4. Keteladanan Akhlak] Menjadi pribadi yang lembut, jujur, amanah, dan penuh kasih sayang."
"52","4","[5. Syukur & Kebanggaan] Bersyukur karena Allah menjadikannya bagian dari umat Muhammad ﷺ ."
"53","4","[5. Syukur & Kebanggaan] Merasa mulia dengan identitas keislaman yang diwariskan Rasulullah."
"54","4","[6. Orientasi Akhirat] Menjadikan perjumpaan dengan Rasulullah sebagai cita-cita tertinggi."
"55","4","[6. Orientasi Akhirat] Memperbanyak amal shalih sebagai bekal agar layak bertemu beliau."
"56","4","[7. Dakwah & Teladan] Mengajak orang lain mencintai Rasulullah dengan cara yang indah."
"57","4","[7. Dakwah & Teladan] Menjadi teladan yang mencerminkan umat Nabi yang berakhlak mulia."
"58","5","[1. Kecintaan pada Al-Qur’an] Merasa rindu dan bahagia ketika membaca atau mendengar Al-Qur’an."
"59","5","[1. Kecintaan pada Al-Qur’an] Menjadikan tilawah sebagai kebutuhan hati, bukan sekadar kewajiban."
"60","5","[2. Kedekatan dengan Kalam Allah] Membiasakan diri membaca, menghafal, dan mentadabburi ayat-ayat Al-Qur’an."
"61","5","[2. Kedekatan dengan Kalam Allah] Menjadikan Al-Qur’an sebagai teman hidup sehari-hari."
"62","5","[3. Pemahaman dan Tadabbur] Berusaha memahami makna ayat, bukan hanya membaca."
"63","5","[3. Pemahaman dan Tadabbur] Menghubungkan pesan Al-Qur’an dengan realitas kehidupan."
"64","5","[4. Amal yang Berpandu Al-Qur’an] Menjadikan Al-Qur’an sebagai kompas dalam berpikir, berkata, dan bertindak."
"65","5","[4. Amal yang Berpandu Al-Qur’an] Mengukur benar-salah dengan standar wahyu, bukan sekadar logika manusia."
"66","5","[5. Konsistensi dalam Hidup] Menjalankan ibadah, muamalah, dan akhlak sesuai tuntunan Al-Qur’an."
"67","5","[5. Konsistensi dalam Hidup] Tidak mudah tergoda oleh hal-hal yang bertentangan dengan nilai Qur’ani."
"68","5","[6. Spiritualitas yang Mendalam] Merasakan ketenangan hati saat berinteraksi dengan Al-Qur’an."
"69","5","[6. Spiritualitas yang Mendalam] Menjadikan Al-Qur’an sebagai sumber kekuatan dalam menghadapi ujian hidup."
"70","5","[7. Kerinduan akan Pertemuan dengan Allah] Menjadikan hidup berpandu Al-Qur’an sebagai bekal untuk bertemu Allah dengan husnul khatimah."
"71","5","[7. Kerinduan akan Pertemuan dengan Allah] Meyakini bahwa cinta kepada Al-Qur’an adalah jalan menuju ridha Allah."
"72","6","[1. Niat yang Lurus] Menghafal Al-Qur’an dengan tujuan mencari ridha Allah, bukan sekadar prestasi dunia."
"73","6","[1. Niat yang Lurus] Menjadikan hafalan sebagai ibadah, bukan hanya kebanggaan."
"74","6","[2. Konsistensi dalam Menghafal] Menjaga rutinitas muraja’ah (mengulang hafalan) agar tidak hilang."
"75","6","[2. Konsistensi dalam Menghafal] Menyisihkan waktu khusus setiap hari untuk menambah dan memperkuat hafalan."
"76","6","[3. Kedekatan Spiritual] Merasakan ketenangan dan kebahagiaan saat berinteraksi dengan Al-Qur’an."
"77","6","[3. Kedekatan Spiritual] Menjadikan hafalan sebagai sarana memperkuat iman dan taqwa."
"78","6","[4. Integrasi Ilmu & Amal] Tidak hanya menghafal, tetapi juga berusaha memahami dan mengamalkan isi Al-Qur’an."
"79","6","[4. Integrasi Ilmu & Amal] Menjadikan hafalan sebagai pedoman dalam akhlak dan ibadah."
"80","6","[5. Orientasi Akhirat] Meyakini bahwa kemuliaan sejati adalah bersama Al-Qur’an di akhirat."
"81","6","[5. Orientasi Akhirat] Menjadikan hafalan sebagai bekal untuk mendapatkan syafaat Al-Qur’an."
"82","6","[6. Kerendahan Hati] Tidak sombong dengan hafalan, tetapi tetap tawadhu."
"83","6","[6. Kerendahan Hati] Menyadari bahwa hafalan adalah amanah yang harus dijaga."
"84","6","[7. Dakwah & Teladan] Mengajak orang lain mencintai Al-Qur’an melalui teladan pribadi."
"85","6","[7. Dakwah & Teladan] Menjadi inspirasi bagi lingkungan untuk dekat dengan Al-Qur’an."
"86","7","[1. Visi Terpadu] Menjadikan teknologi, bisnis, dan dakwah bukan sebagai tujuan terpisah, tetapi sebagai sarana saling menguatkan."
"87","7","[1. Visi Terpadu] Melihat dunia sebagai ladang amal yang bisa dimuliakan dengan inovasi, kerja, dan dakwah."
"88","7","[2. Pemanfaatan Teknologi untuk Kebaikan] Menggunakan teknologi sebagai alat untuk mempermudah hidup, memperluas dakwah, dan meningkatkan produktivitas."
"89","7","[2. Pemanfaatan Teknologi untuk Kebaikan] Tidak menyalahgunakan teknologi untuk hal yang merusak moral atau merugikan orang lain."
"90","7","[3. Bisnis yang Beretika & Syariah] Menjalankan usaha dengan prinsip halal, jujur, dan amanah."
"91","7","[3. Bisnis yang Beretika & Syariah] Menjadikan bisnis sebagai sarana memberi manfaat bagi masyarakat, bukan sekadar mencari keuntungan."
"92","7","[4. Dakwah yang Kreatif & Relevan] Menggunakan media modern untuk menyampaikan pesan Islam dengan cara yang menarik dan mudah dipahami."
"93","7","[4. Dakwah yang Kreatif & Relevan] Menjadikan dakwah sebagai bagian dari aktivitas sehari-hari, bukan hanya di mimbar."
"94","7","[5. Integrasi Dunia & Akhirat] Menyadari bahwa kemuliaan dunia harus menjadi bekal menuju akhirat."
"95","7","[5. Integrasi Dunia & Akhirat] Menjadikan setiap aktivitas bisnis dan teknologi sebagai ibadah bila diniatkan untuk Allah."
"96","7","[6. Kepemimpinan & Keteladanan] Menjadi teladan dalam memadukan profesionalisme dengan nilai spiritual."
"97","7","[6. Kepemimpinan & Keteladanan] Menginspirasi orang lain untuk berbisnis dan berdakwah dengan cara yang mulia."
"98","7","[7. Orientasi Maslahat] Fokus pada manfaat luas: teknologi untuk memudahkan, bisnis untuk mensejahterakan, dakwah untuk menyejukkan."
"99","7","[7. Orientasi Maslahat] Menjadikan keberhasilan dunia sebagai sarana memperkuat ukhuwah dan dakwah."
"100","8","[1. Visi Jangka Panjang] Memiliki gambaran cita-cita yang melampaui kepentingan sesaat."
"101","8","[1. Visi Jangka Panjang] Tidak hanya memikirkan diri sendiri, tetapi juga dampak bagi masyarakat dan umat."
"102","8","[2. Berani Bermimpi Besar] Tidak takut dianggap “terlalu tinggi” dalam cita-cita."
"103","8","[2. Berani Bermimpi Besar] Menjadikan mimpi besar sebagai motivasi, bukan sekadar angan-angan."
"104","8","[3. Orientasi Maslahat] Cita-cita selalu dikaitkan dengan manfaat luas bagi orang lain."
"105","8","[3. Orientasi Maslahat] Menjadikan keberhasilan pribadi sebagai sarana memberi kontribusi sosial."
"106","8","[4. Ketekunan & Disiplin] Konsisten bekerja keras untuk mewujudkan cita-cita besar."
"107","8","[4. Ketekunan & Disiplin] Tidak mudah menyerah meski menghadapi rintangan besar."
"108","8","[5. Berani Mengambil Risiko] Menyadari bahwa cita-cita besar membutuhkan pengorbanan."
"109","8","[5. Berani Mengambil Risiko] Siap menghadapi tantangan dengan strategi dan keberanian."
"110","8","[6. Integrasi Nilai Spiritual] Menjadikan cita-cita besar tetap berpandu pada syariat Allah."
"111","8","[6. Integrasi Nilai Spiritual] Meyakini bahwa keberhasilan sejati adalah yang diridhai Allah."
"112","8","[7. Kemampuan Menginspirasi] Membuat orang lain ikut termotivasi dengan cita-citanya."
"113","8","[7. Kemampuan Menginspirasi] Menjadi teladan dalam berpikir visioner dan bertindak nyata."
"114","9","[1. Hanya Malu Sebelum Berbuat Dosa] Hatinya langsung resah ketika muncul niat buruk."
"115","9","[1. Hanya Malu Sebelum Berbuat Dosa] Ada dorongan kuat untuk menahan diri sebelum melangkah ke perbuatan salah."
"116","9","[1. Hanya Malu Sebelum Berbuat Dosa] Menjadikan rasa malu sebagai benteng awal agar tidak jatuh ke dalam maksiat."
"117","9","[2. Hanya Malu Saat Berbuat Dosa] Merasa bersalah dan tidak tenang ketika melakukan kesalahan."
"118","9","[2. Hanya Malu Saat Berbuat Dosa] Tidak bisa menikmati maksiat karena hati selalu mengingat Allah."
"119","9","[2. Hanya Malu Saat Berbuat Dosa] Ada kesadaran bahwa dosa merendahkan martabat dirinya sebagai hamba Allah."
"120","9","[3. Hanya Malu Setelah Berbuat Dosa] Segera menyesal dan merasa hina di hadapan Allah."
"121","9","[3. Hanya Malu Setelah Berbuat Dosa] Tidak berusaha menutupi dosa dengan alasan, tetapi mengakuinya dengan jujur."
"122","9","[3. Hanya Malu Setelah Berbuat Dosa] Rasa malu mendorongnya untuk bertaubat dan memperbaiki diri."
"123","9","[4. Kesadaran Spiritual] Menjadikan rasa malu sebagai tanda iman yang hidup."
"124","9","[4. Kesadaran Spiritual] Meyakini bahwa malu terhadap dosa adalah bentuk penjagaan Allah atas dirinya."
"125","9","[5. Komitmen Perbaikan] Tidak mengulang kesalahan yang sama karena malu kepada Allah."
"126","9","[5. Komitmen Perbaikan] Menjadikan pengalaman dosa sebagai pelajaran untuk lebih berhati-hati."
"127","9","[6. Tidak malu dalam hal-hal yang positif] Tidak malu dalam hal-hal yang positif, misalnya maju ke depan kelas, bartanya, berpendapat, berinisiatif, mengambil peran menjadi pemimpin, menuntut hak, menegakkan kebenaran, dsb."
"128","10","[1. Proaktif] Tidak menunggu diperintah, langsung bergerak ketika melihat peluang atau masalah."
"129","10","[1. Proaktif] Mampu membaca situasi dan bertindak cepat."
"130","10","[2. Berani Memulai] Tidak takut mencoba hal baru meski belum ada jaminan berhasil."
"131","10","[2. Berani Memulai] Menjadikan tantangan sebagai kesempatan untuk tumbuh."
"132","10","[3. Tanggung Jawab] Siap menanggung risiko dari keputusan yang diambil."
"133","10","[3. Tanggung Jawab] Tidak lari dari konsekuensi, tetapi belajar dari hasilnya."
"134","10","[4. Kreatif dalam Solusi] Mencari cara baru untuk menyelesaikan masalah."
"135","10","[4. Kreatif dalam Solusi] Tidak hanya mengikuti pola lama, tetapi berani berinovasi."
"136","10","[5. Konsistensi & Ketekunan] Menyelesaikan apa yang sudah dimulai dengan penuh komitmen."
"137","10","[5. Konsistensi & Ketekunan] Tidak mudah menyerah meski menghadapi hambatan."
"138","10","[6. Kepekaan Sosial] Peka terhadap kebutuhan orang lain dan lingkungan."
"139","10","[6. Kepekaan Sosial] Mengambil inisiatif untuk membantu atau memberi manfaat."
"140","10","[7. Integrasi Nilai Spiritual & Moral] Menjadikan inisiatif bukan sekadar ambisi, tetapi berpandu pada nilai benar dan maslahat."
"141","10","[7. Integrasi Nilai Spiritual & Moral] Berinisiatif dengan niat ibadah, bukan sekadar mencari pujian."
"142","11","[1. Berpikir Out of the Box] Mampu melihat kemungkinan di luar kebiasaan."
"143","11","[1. Berpikir Out of the Box] Tidak terpaku pada cara lama, berani mencoba pendekatan baru."
"144","11","[2. Kaya Imajinasi] Sering membayangkan ide, konsep, atau solusi yang belum pernah ada."
"145","11","[2. Kaya Imajinasi] Menghubungkan hal-hal yang tampak tidak berkaitan menjadi sesuatu yang bermakna."
"146","11","[3. Fleksibilitas Mental] Mudah beradaptasi dengan perubahan."
"147","11","[3. Fleksibilitas Mental] Tidak kaku dalam menghadapi masalah, selalu mencari alternatif."
"148","11","[4. Problem Solver] Menjadikan tantangan sebagai peluang untuk berinovasi."
"149","11","[4. Problem Solver] Mampu menemukan solusi kreatif yang praktis dan efektif."
"150","11","[5. Ekspresi Unik] Menyalurkan ide melalui seni, tulisan, desain, atau cara komunikasi yang berbeda."
"151","11","[5. Ekspresi Unik] Menunjukkan ciri khas dalam karya atau tindakan."
"152","11","[6. Rasa Ingin Tahu Tinggi] Aktif mencari pengetahuan baru untuk memperkaya ide."
"153","11","[6. Rasa Ingin Tahu Tinggi] Suka bereksperimen dan mencoba hal-hal yang belum pernah dilakukan."
"154","11","[7. Berani Berbeda] Tidak takut dianggap “aneh” atau “tidak biasa”."
"155","11","[7. Berani Berbeda] Menjadikan perbedaan sebagai kekuatan, bukan kelemahan."
"156","12","[1. Peka terhadap Masalah & Peluang] Mampu melihat kebutuhan yang belum terpenuhi."
"157","12","[1. Peka terhadap Masalah & Peluang] Menangkap peluang dari situasi yang dianggap biasa oleh orang lain."
"158","12","[2. Berani Bereksperimen] Tidak takut mencoba cara baru meski belum ada jaminan berhasil."
"159","12","[2. Berani Bereksperimen] Menjadikan kegagalan sebagai bahan belajar, bukan penghalang."
"160","12","[3. Menghasilkan Ide Orisinal] Mampu melahirkan gagasan yang berbeda dari kebiasaan umum."
"161","12","[3. Menghasilkan Ide Orisinal] Menunjukkan ciri khas dalam solusi atau karya yang dibuat."
"162","12","[4. Adaptif & Fleksibel] Mudah menyesuaikan diri dengan perubahan."
"163","12","[4. Adaptif & Fleksibel] Mampu mengubah strategi ketika kondisi tidak sesuai rencana."
"164","12","[5. Fokus pada Nilai Tambah] Inovasi bukan sekadar berbeda, tetapi memberi manfaat nyata."
"165","12","[5. Fokus pada Nilai Tambah] Selalu mencari cara agar ide membawa dampak positif bagi orang lain."
"166","12","[6. Integrasi Ilmu & Kreativitas] Menggabungkan pengetahuan, teknologi, dan imajinasi untuk menciptakan sesuatu yang baru."
"167","12","[6. Integrasi Ilmu & Kreativitas] Tidak hanya berpikir kreatif, tetapi juga aplikatif."
"168","12","[7. Inspiratif] Membuat orang lain ikut termotivasi untuk berinovasi."
"169","12","[7. Inspiratif] Menjadi teladan dalam keberanian menghadirkan solusi baru."
"170","13","[1. Kemandirian Emosional] Tidak bergantung pada orangtua atau orang lain untuk merasa aman."
"171","13","[1. Kemandirian Emosional] Mampu mengendalikan emosi tanpa harus selalu mencari validasi eksternal."
"172","13","[1. Kemandirian Emosional] Tetap tenang dalam menghadapi tekanan, tidak mudah goyah oleh pengaruh lingkungan."
"173","13","[2. Kemandirian Perilaku] Berani membuat keputusan sendiri dan siap menanggung konsekuensinya."
"174","13","[2. Kemandirian Perilaku] Mampu menuntaskan pekerjaan tanpa harus selalu diarahkan."
"175","13","[2. Kemandirian Perilaku] Bisa bekerja sendiri sekaligus mampu bekerjasama dengan orang lain secara sehat."
"176","13","[3. Kemandirian Nilai] Menjadikan nilai agama sebagai pedoman utama dalam hidup."
"177","13","[3. Kemandirian Nilai] Tidak mudah terpengaruh oleh tren atau tekanan sosial yang bertentangan dengan syariat."
"178","13","[3. Kemandirian Nilai] Konsisten dalam menjunjung kebenaran meski berbeda dengan mayoritas."
"179","13","[4. Tanggung Jawab Pribadi] Menyadari bahwa setiap tindakan membawa akibat, sehingga berhati-hati dalam bertindak."
"180","13","[4. Tanggung Jawab Pribadi] Tidak menyalahkan orang lain atas kesalahan diri."
"181","13","[5. Integritas & Konsistensi] Menjaga prinsip meski dalam situasi sulit."
"182","13","[5. Integritas & Konsistensi] Menunjukkan keselarasan antara pikiran, ucapan, dan tindakan."
"183","14","[1. Berorientasi pada Tujuan] Memiliki cita-cita yang jelas dan terukur."
"184","14","[1. Berorientasi pada Tujuan] Menyusun rencana bukan sekadar ide, tetapi dengan target yang spesifik."
"185","14","[2. Timeline yang Realistis] Menentukan umur atau rentang waktu pencapaian cita-cita."
"186","14","[2. Timeline yang Realistis] Membagi perjalanan hidup ke dalam fase-fase yang terstruktur."
"187","14","[3. Tahapan (Stepline) yang Sistematis] Membuat tahapan bertingkat dari awal hingga akhir."
"188","14","[3. Tahapan (Stepline) yang Sistematis] Menyusun urutan logis agar setiap langkah mendukung pencapaian berikutnya."
"189","14","[4. Langkah Mayor & Minor] Membedakan antara langkah besar (strategis) dan langkah kecil (teknis)."
"190","14","[4. Langkah Mayor & Minor] Menyadari bahwa cita-cita besar membutuhkan kombinasi keduanya."
"191","14","[5. Disiplin & Konsistensi] Menjalankan rencana sesuai timeline yang ditetapkan."
"192","14","[5. Disiplin & Konsistensi] Tidak mudah menyerah meski ada hambatan."
"193","14","[6. Evaluasi & Penyesuaian] Meninjau kembali rencana secara berkala."
"194","14","[6. Evaluasi & Penyesuaian] Berani mengubah strategi bila ada kendala, tanpa kehilangan arah utama."
"195","14","[7. Integrasi Nilai & Spiritualitas] Menjadikan action plan bukan sekadar ambisi duniawi, tetapi berpandu pada nilai agama."
"196","14","[7. Integrasi Nilai & Spiritualitas] Meyakini bahwa usaha harus disertai doa dan tawakal."
"197","15","[1. Kesadaran Hidup = Ujian] Menyadari bahwa setiap peristiwa adalah “level” yang harus dilewati."
"198","15","[1. Kesadaran Hidup = Ujian] Tidak menganggap dunia sebagai tujuan akhir, tetapi sebagai arena ujian menuju akhirat."
"199","15","[2. Memahami Aturan Main] Menjadikan syariat Allah sebagai “rule of the game.”"
"200","15","[2. Memahami Aturan Main] Tidak mencari jalan pintas dengan cara haram, meski tampak menguntungkan."
"201","15","[3. Strategi & Perencanaan] Menyusun langkah hidup seperti strategi dalam permainan besar."
"202","15","[3. Strategi & Perencanaan] Memahami bahwa setiap keputusan membawa konsekuensi."
"203","15","[4. Mental Kompetitif yang Sehat] Berusaha menjadi yang terbaik dalam amal, bukan sekadar menang dalam materi."
"204","15","[4. Mental Kompetitif yang Sehat] Melihat orang lain sebagai partner dalam kebaikan, bukan hanya lawan."
"205","15","[5. Ketekunan & Kesabaran] Tidak mudah putus asa ketika “jatuh” dalam permainan hidup."
"206","15","[5. Ketekunan & Kesabaran] Bangkit kembali dengan semangat baru, seperti pemain yang terus mencoba hingga berhasil."
"207","15","[6. Orientasi Akhirat] Menyadari bahwa “game dunia” berakhir dengan kematian."
"208","15","[6. Orientasi Akhirat] Fokus pada “reward akhirat” sebagai kemenangan sejati."
"209","15","[7. Rasa Syukur & Tawakal] Menikmati setiap tahap permainan dengan syukur."
"210","15","[7. Rasa Syukur & Tawakal] Berserah diri kepada Allah atas hasil, setelah berusaha maksimal."
"211","16","[1. Kesadaran Risiko] Menyadari bahwa setiap pilihan membawa dampak positif maupun negatif."
"212","16","[1. Kesadaran Risiko] Tidak menganggap remeh keputusan kecil sekalipun."
"213","16","[2. Pertimbangan Matang] Menimbang maslahat dan mudharat sebelum memilih."
"214","16","[2. Pertimbangan Matang] Menggunakan akal sehat dan panduan syariat dalam mengambil keputusan."
"215","16","[3. Tanggung Jawab atas Konsekuensi] Berani menanggung akibat dari keputusan yang diambil."
"216","16","[3. Tanggung Jawab atas Konsekuensi] Tidak menyalahkan orang lain atau keadaan atas hasil pilihan."
"217","16","[4. Sikap Hati-hati] Tidak tergesa-gesa dalam menentukan pilihan."
"218","16","[4. Sikap Hati-hati] Menghindari keputusan yang hanya didorong oleh emosi sesaat."
"219","16","[5. Kesiapan Menerima kemyataan] Menerima hasil pilihan dengan lapang dada, baik berhasil maupun gagal."
"220","16","[5. Kesiapan Menerima kemyataan] Menjadikan konsekuensi sebagai pelajaran untuk ikhtiar berikutnya."
"221","16","[6. Integritas dalam Pilihan] Tidak menghalalkan segala cara demi hasil."
"222","16","[6. Integritas dalam Pilihan] Memastikan pilihan tetap sesuai dengan nilai agama dan etika."
"223","16","[7. Evaluasi Berkelanjutan] Belajar dari konsekuensi pilihan sebelumnya."
"224","16","[7. Evaluasi Berkelanjutan] Memperbaiki strategi agar pilihan berikutnya lebih bijak."
"225","17","[1. Keteguhan] Tidak mudah goyah meski menghadapi kesulitan panjang."
"226","17","[1. Keteguhan] Tetap fokus pada tujuan meski hasil belum terlihat."
"227","17","[2. Konsistensi Usaha] Terus berikhtiar setiap hari, tidak hanya semangat di awal."
"228","17","[2. Konsistensi Usaha] Menjadikan kegagalan sebagai bahan bakar untuk mencoba lagi."
"229","17","[3. Optimisme dalam Kesulitan] Meyakini bahwa setiap rintangan pasti ada jalan keluar."
"230","17","[3. Optimisme dalam Kesulitan] Melihat ujian sebagai peluang untuk tumbuh lebih kuat."
"231","17","[4. Kemampuan Bangkit] Cepat pulih setelah jatuh atau gagal."
"232","17","[4. Kemampuan Bangkit] Tidak membiarkan kegagalan menghentikan langkah."
"233","17","[5. Disiplin & Kerja Keras] Menjalankan usaha dengan tekun, bukan sekadar berharap hasil instan."
"234","17","[5. Disiplin & Kerja Keras] Siap berkorban waktu, tenaga, dan kenyamanan demi cita-cita."
"235","17","[6. Spiritualitas sebagai Sumber Kekuatan] Menguatkan hati dengan doa, ibadah, dan tawakal kepada Allah."
"236","17","[6. Spiritualitas sebagai Sumber Kekuatan] Meyakini bahwa perjuangan adalah bagian dari ibadah."
"237","17","[7. Orientasi Jangka Panjang] Tidak mudah putus asa karena melihat tujuan besar di depan."
"238","17","[7. Orientasi Jangka Panjang] Menyadari bahwa hasil besar membutuhkan kesabaran panjang."
"239","18","[1. Siap Bersaing] Memiliki motivasi kuat untuk menjadi yang terbaik."
"240","18","[1. Siap Bersaing] Melihat persaingan sebagai sarana belajar dan meningkatkan kualitas diri."
"241","18","[1. Siap Bersaing] Tidak takut menghadapi lawan yang lebih kuat."
"242","18","[2. Merespons Kemenangan dengan Benar] Bersyukur atas kemenangan tanpa sombong."
"243","18","[2. Merespons Kemenangan dengan Benar] Menghargai lawan yang kalah dengan sikap hormat."
"244","18","[2. Merespons Kemenangan dengan Benar] Menjadikan kemenangan sebagai dorongan untuk terus berusaha, bukan berhenti."
"245","18","[3. Merespons Kekalahan dengan Benar] Menerima kekalahan dengan lapang dada tanpa menyalahkan orang lain."
"246","18","[3. Merespons Kekalahan dengan Benar] Menjadikan kekalahan sebagai bahan evaluasi dan motivasi untuk bangkit."
"247","18","[3. Merespons Kekalahan dengan Benar] Tetap menjaga semangat juang meski gagal."
"248","18","[4. Sportivitas] Menjunjung tinggi aturan dan nilai keadilan dalam persaingan."
"249","18","[4. Sportivitas] Tidak menggunakan cara curang untuk menang."
"250","18","[5. Tangguh dan tawadlu] Tidak mudah putus asa ketika kalah."
"251","18","[5. Tangguh dan tawadlu] Tidak cepat puas ketika menang."
"252","18","[6. Orientasi Perbaikan Diri] Fokus pada peningkatan kualitas pribadi, bukan sekadar mengalahkan orang lain."
"253","18","[6. Orientasi Perbaikan Diri] Menjadikan persaingan sebagai jalan menuju keunggulan yang bermanfaat."
"254","19","[1. Nilai Jual Karya] Mampu melihat potensi karya sebagai sesuatu yang bernilai bagi orang lain."
"255","19","[1. Nilai Jual Karya] Tidak hanya berkarya untuk ekspresi, tetapi juga untuk kebutuhan pasar."
"256","19","[2. Kreativitas Produktif] Menghasilkan karya yang unik, relevan, dan bermanfaat."
