Id,Id_Indikator_Global,Indikator_Detail
34,5,6. Keteguhan pada Tujuan Konsisten menjaga arah meski harus mengorbankan kenyamanan pribadi. Tidak mudah tergoda untuk meninggalkan komitmen.
35,5,7. Integrasi Nilai Spiritual Meyakini bahwa berkorban demi tujuan baik adalah amal yang bernilai di sisi Allah. Menjadikan pengorbanan sebagai bentuk ibadah dan jihad diri.
36,6,1. Tenang & Dewasa Tidak mudah terpancing emosi saat berhadapan dengan perbedaan. Menunjukkan sikap sabar dan bijak dalam merespons orang lain.
37,6,2. Mau Mendengar Memberi ruang bagi orang lain untuk menyampaikan pendapat. Tidak memotong pembicaraan atau meremehkan sudut pandang lawan bicara.
38,6,3. Tabayun (Verifikasi) Memastikan kebenaran informasi sebelum bereaksi. Tidak langsung menuduh atau menyalahkan orang lain.
39,6,4. Muhasabah (Introspeksi) Mengoreksi diri sebelum menyalahkan orang lain. Berani mengakui kesalahan bila memang salah.
40,6,5. Islah (Perdamaian) Berusaha mencari titik temu yang adil. Mengutamakan ukhuwah daripada ego pribadi.
41,6,"6. Fokus pada Solusi Tidak berhenti pada masalah, tetapi mencari jalan keluar bersama. Mengarahkan konflik menjadi sarana belajar dan memperkuat hubungan."
42,6,7. Integrasi Nilai Islam Menyelesaikan konflik dengan adab Islami. Menjadikan musyawarah dan kasih sayang sebagai pedoman.
43,7,1. Ketegasan dalam Sikap Berani menyampaikan keputusan meski berbeda dengan mayoritas. Tidak ragu menolak ajakan yang bertentangan dengan nilai kebenaran.
44,7,"2. Tanggung Jawab terhadap Dampak Tidak menyalahkan orang lain atas konsekuensi keputusan yang diambil. Siap menanggung akibat dari pilihan yang dibuat, termasuk bila merugikan diri sendiri."
45,7,3. Transparansi & Kejujuran Menjelaskan alasan keputusan dengan jujur kepada orang lain. Tidak menutup-nutupi risiko yang mungkin muncul.
46,7,"4. Menghargai Orang Lain Tetap memperlakukan orang lain dengan hormat meski berbeda pendapat. Tidak memaksakan keputusan, tetapi mengajak dengan argumentasi yang baik."
47,7,5. Menjadi Teladan Memberi contoh keberanian dalam mengambil keputusan yang benar. Menginspirasi orang lain untuk berani bertanggung jawab atas pilihannya.
48,7,6. Empati dalam Risiko Mempertimbangkan dampak keputusan terhadap orang lain. Tidak mengambil keputusan yang merugikan banyak pihak tanpa maslahat jelas.
49,7,7. Integrasi Nilai Spiritual Meyakini bahwa setiap keputusan harus sesuai syariat and akan dipertanggungjawabkan di hadapan Allah. Menjadikan keberanian sebagai bentuk jihad melawan rasa takut dan keraguan.
50,8,1. Pandai dalam Komunikasi Menjelaskan tujuan dan rencana dengan bahasa yang mudah dipahami orang lain. Tidak membuat orang lain bingung atau merasa ditinggalkan.
51,8,2. Transparansi & Kejujuran Terbuka mengenai langkah yang akan diambil. Tidak menyembunyikan hal penting yang berdampak pada orang lain.
52,8,3. Menghargai Peran Orang Lain Menempatkan orang lain sesuai kapasitasnya dalam rencana. Memberi ruang kontribusi agar semua merasa dilibatkan.
53,8,"4. Kolaboratif Mengajak orang lain bekerja sama untuk mewujudkan masterplan. Tidak memaksakan kehendak, tetapi membangun kesepahaman."
54,8,"5. Konsistensi dalam Perlakuan Memperlakukan orang lain sesuai dengan arah tujuan, bukan sekadar spontanitas. Menunjukkan sikap yang stabil dan dapat dipercaya."
55,8,"6. Orientasi pada Maslahat Bersama Menjadikan rencana bukan hanya untuk kepentingan pribadi, tetapi juga manfaat sosial. Memastikan orang lain merasakan dampak positif dari masterplan."
56,8,7. Integrasi Nilai Spiritual Meyakini bahwa setiap rencana harus sesuai syariat and bernilai ibadah. Memperlakukan orang lain dengan adab Islami sebagai bagian dari keberhasilan rencana.
57,9,1. Komunikasi yang Ramah & Hangat Menyampaikan pesan dengan bahasa yang sopan dan menyenangkan. Membuat orang lain merasa dihargai dan nyaman.
58,9,"2. Kemampuan Mendengar Tidak hanya berbicara, tetapi juga mendengarkan dengan penuh perhatian. Menunjukkan bahwa pendapat orang lain penting."
59,9,"3. Argumentasi yang Logis & Religius Menggunakan alasan yang masuk akal and sesuai syariat. Membujuk dengan dalil, contoh nyata, and manfaat yang jelas."
60,9,4. Empati & Kepedulian Menyesuaikan cara berbicara dengan kondisi orang lain. Membujuk dengan memahami kebutuhan and perasaan lawan bicara.
61,9,5. Keteladanan Sikap Membuktikan kata-kata dengan perbuatan nyata. Orang lain lebih mudah terbujuk karena melihat konsistensi akhlak.
62,9,"6. Tidak Memaksa Membujuk dengan kelembutan, bukan tekanan. Memberi ruang bagi orang lain untuk memilih dengan ikhlas."
63,9,"7. Orientasi Kebaikan Bersama Membujuk bukan untuk kepentingan pribadi semata, tetapi demi maslahat bersama. Menjadikan persuasi sebagai sarana dakwah and ukhuwah."
64,10,1. Ketegasan dalam Perintah Memberikan instruksi dengan jelas and langsung. Tidak membiarkan orang lain ragu terhadap apa yang diminta.
65,10,2. Otoritas dalam Sikap Memposisikan diri sebagai pemimpin yang harus diikuti. Menunjukkan wibawa sehingga orang lain merasa perlu patuh.
66,10,3. Konsistensi dalam Tuntutan Tidak mudah berubah-ubah dalam arahan. Menuntut orang lain untuk mengikuti aturan yang sudah ditetapkan.
67,10,4. Minim Ruang Negosiasi Jarang memberi kesempatan orang lain untuk menolak. Lebih menekankan kepatuhan daripada diskusi panjang.
68,10,"5. Orientasi pada Tujuan Memaksa bukan untuk kepentingan pribadi, tetapi demi tercapainya tujuan bersama. Menekankan hasil yang harus dicapai oleh kelompok."
69,10,6. Menggunakan Bahasa Tegas Menghindari bahasa yang terlalu lunak atau ambigu. Menggunakan kalimat perintah yang jelas and langsung.
70,10,7. Integrasi Nilai Spiritual Menjadikan sikap imperatif sebagai bentuk tanggung jawab kepemimpinan. Meyakini bahwa ketegasan diperlukan agar tujuan yang baik tercapai sesuai syariat.
71,11,1. Keterampilan Mendengar Memberi ruang bagi orang lain untuk berbicara. Menunjukkan perhatian penuh terhadap pendapat and perasaan lawan bicara.
72,11,"2. penggunaan diksi yang Sopan & Jelas Menggunakan kata-kata yang lembut, tidak menyakiti. Menyampaikan maksud dengan jelas agar tidak menimbulkan salah paham."
73,11,3. Empati & Pengertian Menyesuaikan cara berbicara dengan kondisi orang lain. Memahami kebutuhan and sudut pandang lawan bicara sebelum memberi solusi.
74,11,"4. Argumentasi yang Bijak Menyampaikan alasan dengan logis, syar’i, and mudah diterima. Tidak memaksakan kehendak, tetapi mengajak dengan dalil and manfaat."
75,11,5. Orientasi pada Titik Temu Berusaha mencari kesepakatan yang adil bagi semua pihak. Mengutamakan maslahat bersama daripada kepentingan pribadi.
76,11,"6. Keteguhan & Fleksibilitas Teguh pada prinsip, tetapi fleksibel dalam cara penyampaian. Tidak kaku, melainkan terbuka terhadap alternatif solusi."
77,11,7. Integrasi Nilai Spiritual Menjadikan komunikasi sebagai sarana dakwah and ibadah. Memperlakukan orang lain dengan adab Islami dalam interaksi and negosiasi.
78,12,"1. Kelembutan dalam Berbicara Menggunakan kata-kata yang menenangkan, bukan menyakiti. Menyampaikan kritik dengan bahasa yang halus and membangun."
79,12,2. Ketepatan Diksi Memilih kata sesuai konteks and lawan bicara. Tidak menggunakan istilah yang membingungkan atau menyinggung.
80,12,3. Menghargai Lawan Bicara Menyesuaikan bahasa dengan tingkat pemahaman orang lain. Menghindari kata-kata yang merendahkan atau meremehkan.
81,12,4. Persuasif & Meyakinkan Menggunakan diksi yang mampu menggerakkan hati orang lain. Menyampaikan ajakan dengan kata-kata yang inspiratif.
82,12,"5. Menjaga Adab Lisan Tidak berkata kasar, menghina, atau berlebihan. Menjadikan lisan sebagai sarana dakwah and ukhuwah."
83,12,6. Empati dalam Bahasa Memilih kata yang menunjukkan kepedulian terhadap perasaan orang lain. Menggunakan bahasa yang menenangkan saat orang lain sedang sulit.
84,12,7. Integrasi Nilai Spiritual Menjadikan pilihan kata sebagai cerminan akhlak Islami. Meyakini bahwa setiap kata akan dipertanggungjawabkan di hadapan Allah.
85,13,"1. Komunikasi yang Meyakinkan Menyampaikan pesan dengan jelas, penuh semangat, and mudah dipahami. Membuat orang lain merasa yakin dengan ajakan yang disampaikan."
86,13,2. Keteladanan Sikap Menjadi contoh nyata sehingga orang lain terdorong mengikuti. Konsistensi antara ucapan and perbuatan membuat ajakan lebih kuat.
87,13,"3. Empati & Kepedulian Menyesuaikan cara mengajak dengan kondisi orang lain. Menunjukkan bahwa ajakan lahir dari kepedulian, bukan sekadar kepentingan pribadi."
88,13,"4. Persuasif & Inspiratif Menggunakan kata-kata yang membangkitkan semangat. Mengajak dengan motivasi yang menyentuh hati, bukan dengan paksaan."
89,13,5. Membangun Kepercayaan Memperlakukan orang lain dengan jujur and adil sehingga ajakan dipercaya. Menjaga amanah agar orang lain merasa aman mengikuti.
90,13,"6. Orientasi Kebaikan Bersama Mengajak bukan untuk keuntungan pribadi, tetapi demi maslahat kelompok. Menekankan manfaat sosial and spiritual dari ajakan."
91,13,7. Integrasi Nilai Spiritual Menjadikan daya ajak sebagai sarana dakwah. Meyakini bahwa mengajak orang lain kepada kebaikan adalah amal yang bernilai di sisi Allah.
92,14,"1. Konsistensi Pikiran, Ucapan, and Tindakan Tidak berkata sesuatu yang bertentangan dengan perbuatannya. Menjadi teladan nyata, bukan hanya pandai berbicara."
93,14,2. Kejujuran dalam Komunikasi Menyampaikan pendapat sesuai keyakinan hati and pikiran. Tidak menipu atau berpura-pura demi menyenangkan orang lain.
94,14,"3. Keteladanan Akhlak Memperlakukan orang lain dengan adab yang sesuai dengan kata-kata yang ia ucapkan. Menjadi contoh nyata dalam disiplin, kesopanan, and tanggung jawab."
95,14,4. Integritas dalam Hubungan Menepati janji and komitmen yang diucapkan. Tidak mengingkari ucapan meski menghadapi kesulitan.
96,14,5. Inspiratif & Meyakinkan Membuat orang lain percaya karena melihat keselarasan antara ucapan and tindakan. Menjadi sosok yang menggerakkan orang lain menuju kebaikan.
97,14,6. Menghargai Orang Lain Tidak berkata manis lalu memperlakukan dengan kasar. Menjaga kehormatan orang lain sesuai dengan kata-kata yang ia sampaikan.
98,14,"7. Integrasi Nilai Spiritual Meyakini bahwa keselarasan pikiran, ucapan, and tindakan adalah amanah iman. Menjadikan keteladanan sebagai bentuk dakwah bil hal (dakwah dengan perbuatan)."
